StateCode,StateName,Region,Lat,Long,Over21Pop
AL,Alabama,3,32.31823,-86.902298,16936626
AK,Alaska,4,66.160507,-153.369141,2454636
AZ,Arizona,4,34.048927,-111.093735,24745828
AR,Arkansas,3,34.799999,-92.199997,10389634
CA,California,4,36.778259,-119.417931,136585470
CO,Colorado,4,39.113014,-105.358887,19674750
CT,Connecticut,1,41.599998,-72.699997,12483198
DE,Delaware,3,39,-75.5,3373472
DC,District Of Columbia,3,39,-75.2,2474750
FL,Florida,3,27.994402,-81.760254,75023872
GA,Georgia,3,33.247875,-83.441162,35967464
HI,Hawaii,4,20.716179,-158.214676,4808406
ID,Idaho,4,44.068203,-114.742043,5969748
IL,Illinois,2,40,-89,44173212
IN,Indiana,2,40.273502,-86.126976,23057116
IA,Iowa,2,42.032974,-93.581543,10877898
KS,Kansas,2,38.5,-98,9897734
KY,Kentucky,3,37.839333,-84.27002,15441770
LA,Louisiana,3,30.39183,-92.329102,16037990
ME,Maine,1,45.367584,-68.972168,4752558
MD,Maryland,3,39.045753,-76.641273,20897730
MA,Massachusetts,1,42.407211,-71.382439,24232282
MI,Michigan,2,44.182205,-84.506836,34834650
MN,Minnesota,2,46.39241,-94.63623,19406534
MS,Mississippi,3,33,-90,10229714
MO,Missouri,2,38.573936,-92.60376,21212060
MT,Montana,4,46.96526,-109.533691,3697354
NE,Nebraska,2,41.5,-100,6574864
NV,Nevada,4,39.876019,-117.224121,10519028
NH,New Hampshire,1,44,-71.5,4793578
NJ,New Jersey,1,39.833851,-74.871826,31050782
NM,New Mexico,4,34.307144,-106.018066,7205008
NY,New York,1,43,-75,68440242
NC,North Carolina,3,35.782169,-80.793457,35719138
ND,North Dakota,2,47.650589,-100.437012,2588920
OH,Ohio,2,40.367474,-82.996216,40614318
OK,Oklahoma,3,36.084621,-96.921387,13466544
OR,Oregon,4,44,-120.5,14707246
PA,Pennsylvania,1,41.203323,-77.194527,44880334
RI,Rhode Island,1,41.700001,-71.5,3699368
SC,South Carolina,3,33.836082,-81.163727,17577266
SD,South Dakota,2,44.5,-100,3008726
TN,Tennessee,3,35.860119,-86.660156,23483862
TX,Texas,3,31,-100,97218612
UT,Utah,4,39.41922,-111.950684,10476758
VT,Vermont,1,44,-72.699997,2207232
VA,Virginia,3,37.926868,-78.024902,29206114
WA,Washington,4,47.751076,-120.740135,26085110
WV,West Virginia,3,39,-80.5,6359364
WI,Wisconsin,2,44.5,-89.5,20219824
WY,Wyoming,4,43.07597,-107.290283,1986214
